smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed
C=CC(=O)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.833178658288471,0.040567589557087815,0.6721170843977406,294.314,2.4462200000000003,75.41,1,6,0.0,9.128669610930254,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21
C=CC(=O)OC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.791437204878997,0.051425788907693594,0.6880835687619656,293.326,2.974120000000001,63.05,1,5,0.0,9.084053200352287,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21
COc1cc(CCCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.961475589230597,0.020073611326040897,0.2828502690873573,459.5940000000001,4.663300000000003,86.30000000000001,3,6,0.0,9.082827112448236,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1
NCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.843192718929739,0.01769715891198954,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.081556694075637,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
COc1cc(COCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.938847164484105,0.012035965436236687,0.2699927539188509,496.58900000000017,3.340200000000001,126.43,3,8,0.0,9.061807576007293,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(Cl)c(Cl)c1,8.79859576676804,0.040357972907585325,0.5814863659742058,442.35000000000014,4.687100000000004,61.36000000000001,1,5,0.0,9.048980976847558,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1
COc1cc(CCCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.915628024273499,0.01268925463167905,0.2682329830455204,494.61700000000013,4.146300000000003,117.20000000000002,3,7,0.0,9.03705526116458,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1
N=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,8.818385341437768,0.02869761424667446,0.4739695484760816,482.94700000000034,3.731670000000002,104.09,2,7,0.0,9.026672501429134,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
CS(=O)(=O)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(ON)c1,9.259823178561538,0.024454859679082175,0.1550908929342717,496.5930000000002,2.1571,155.25,5,9,0.3,9.012913765349591,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1
CC1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.243270409684886,0.025934088026158063,0.5208528678333952,468.39900000000017,5.196400000000004,70.15,2,5,0.5,8.977762755575425,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1
