smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,closest_pose_reference,closest_pose_smiles,shape_similarity,protrude_similarity,usr_similarity,alignment_score_raw,alignment_score_norm,docking_rescore,docking_backend,structural_priority_score,structural_rank
O=C(/C=C\F)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.00819830596892,0.0876310684407281,0.6673221117389069,387.2120000000001,4.125700000000002,67.77000000000001,1,5,3,5,0.0588235294117647,0,0.0,2.348080000000001,False,,0,,0,,0,,0.8333333333333334,0.7997338173018754,1.0,0.3378378378378378,Sunvozertinib,0.1666666666666666,0.6621621621621622,0.8157078285837206,0.7267163922256294,1.0,0.9155405405405406,0.7267163922256294,0.8644911903374726,1.0,0.2732836077743705,0.7267163922256294,-0.065044482338336,8.876751703307828,0.3209924646800832,-0.0,0.5236486486486487,9.72139281663656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,,9.72139281663656,True,pass,False,,0.8497297297297297,0.8724324324324324,0.8605405405405405,0.0924324324324324,0.8854054054054054,0.9848648648648648,0.827027027027027,0.8151351351351351,0.7044324324324325,0.7915675675675675,10.56671173555548,8,0.0,10.671273897717642,0,1,0,7,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5724437425977102,0.7529859788817725,0.759545316959218,114.7881184731506,0.8523831639418105,0.7159573600628494,reference_ligand,11.208241917764779,1
COc1cc(CO)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,9.498957507913255,0.1212183140959544,0.468660740099691,374.444,4.298900000000003,83.06,3,5,4,6,0.1818181818181818,0,0.0,2.91296,False,,0,,0,,0,,0.8135593220338984,0.7520840597090612,1.0,0.2272727272727272,Osimertinib,0.1864406779661016,0.7727272727272727,0.9148865571111456,0.5957264839779071,1.0,0.943181818181818,0.5957264839779071,0.8634487148177177,1.0,0.4042735160220929,0.5957264839779071,0.0685837897245708,9.317130036769324,0.0498985582815091,-0.0,0.5657164869029275,9.93274508195376,0.0,0.0,0.0318274711439316,0.1303418950276161,0.0,0.1621693661715478,0.0,low,,9.770575715782211,True,pass,False,,0.9967567567567568,0.3745945945945946,0.5156756756756756,0.1654054054054054,0.8854054054054054,0.8032432432432433,0.827027027027027,0.6940540540540541,0.6338918918918919,0.7095945945945947,10.69341535222403,4,0.0,10.622089229295725,0,2,0,2,lead,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CO)cc3)cc12)c1ccccc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4286542251072215,0.6487719298245613,0.8318639182796858,79.59345328765423,0.7346107213357289,0.6298088287423091,reference_ligand,11.094445850852455,2
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Cl)C(=O)NCC2,9.297263540564424,0.0429533867945496,0.4942665847544341,430.8670000000001,3.9239000000000015,88.27000000000001,3,5,4,7,0.238095238095238,0,0.0,3.0391133333333347,False,,0,,0,,0,,0.8382352941176471,0.8148096052755591,1.0,0.198019801980198,Gefitinib,0.1617647058823529,0.801980198019802,0.9192485143849214,0.6049576472559643,1.0,0.9504950495049505,0.6049576472559643,0.8686753027864591,1.0,0.3950423527440356,0.6049576472559643,0.0674309487979498,9.2328334603726,0.0622091085639577,-0.0,0.5633881770529994,9.858430745989557,0.0,0.0,0.0,0.1188029409300445,0.0,0.1188029409300445,0.0,low,,9.739627805059513,True,pass,False,,0.9686486486486486,0.5016216216216216,0.3297297297297297,0.0789189189189189,0.8854054054054054,0.8486486486486486,0.827027027027027,0.9632432432432432,0.6014594594594594,0.710972972972973,10.580182097340908,7,0.0,10.59279537262708,0,3,0,4,lead,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.4344111603763383,0.6497897120672922,0.7541675550115002,101.71396652373018,0.8164435033817135,0.6369462353929052,reference_ligand,11.070505049171759,3
CCOc1cc(C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.466693563673,0.0557881390506043,0.4348209892776107,388.471,4.477520000000003,83.06,3,5,4,7,0.217391304347826,0,0.0,3.1064733333333336,False,,0,,0,,0,,0.8245614035087719,0.7263907753254103,1.0,0.2048192771084337,Afatinib,0.175438596491228,0.7951807228915663,0.9526216935828268,0.5696718005129423,1.0,0.9487951807228916,0.5696718005129423,0.8677721687046651,1.0,0.4303281994870577,0.5696718005129423,0.1131326998375488,9.383011355097093,-0.0094108802876067,-0.0,0.5675015852885225,9.941102060098007,0.0,0.0,0.0,0.1629102493588221,0.0,0.1629102493588221,0.0,low,,9.778191810739186,True,pass,False,,0.9935135135135136,0.2329729729729729,0.2616216216216216,0.1264864864864865,0.8854054054054054,0.6643243243243243,0.827027027027027,0.9275675675675676,0.5582162162162163,0.6558648648648651,10.610961519557469,5,0.0,10.565229648577024,0,4,0,1,lead,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4438093060477878,0.6800981079187105,0.8176115208448215,87.0531914464099,0.7656375719712512,0.6462845758622449,reference_ligand,11.049943080473707,4
OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(F)c1,9.352103292664582,0.0719632203294347,0.4125713732623113,378.407,3.4018000000000006,94.06,4,5,4,6,0.1428571428571428,0,0.0,2.9393800000000003,False,,0,,0,,0,,0.75,0.7020669221488893,1.0,0.2278481012658227,Afatinib,0.25,0.7721518987341772,0.9126515689355412,0.5638611783711943,1.0,0.9430379746835444,0.5638611783711943,0.85488768049757,1.0,0.4361388216288057,0.5638611783711943,0.0770185179172949,9.24415846217043,-0.0140499124519744,-0.0,0.5941455696202531,9.824254119338708,0.0,0.0,0.0,0.1701735270360071,0.0,0.1701735270360071,0.0,low,,9.6540805923027,True,pass,False,,0.9762162162162162,0.1605405405405405,0.4367567567567567,0.4659459459459459,0.8854054054054054,0.6345945945945946,0.827027027027027,0.8789189189189189,0.6301081081081081,0.6858648648648649,10.580383849068438,6,0.0,10.477118430140536,0,5,0,1,lead,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.5241181602891687,0.7360406091370558,0.7936256252442566,86.45820741983931,0.7633019790881899,0.6802000977495191,reference_ligand,10.987268503452675,5
O=C(/C=C\Br)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.961454884336225,0.0306255808306595,0.5807156344667112,448.11800000000005,4.551100000000003,67.77000000000001,1,5,3,5,0.0588235294117647,0,0.0,2.7541200000000003,False,,0,,0,,0,,0.8490566037735849,0.8143462692370338,1.0,0.3243243243243243,Sunvozertinib,0.150943396226415,0.6756756756756757,0.8439258145025946,0.6634659066489988,1.0,0.9189189189189187,0.6634659066489988,0.8565776600176281,1.0,0.3365340933510011,0.6634659066489988,-0.0168691273533779,8.915516513090235,0.1734799874078876,-0.0,0.5206272310045894,9.609623731502712,0.0,0.0,0.0,0.0456676166887514,0.0,0.0456676166887514,0.0,low,,9.56395611481396,True,pass,False,,0.8227027027027027,0.6951351351351351,0.56,0.0475675675675675,0.8854054054054054,0.9643243243243244,0.827027027027027,0.9827027027027028,0.6027567567567568,0.7286486486486486,10.33293183961082,55,0.0,10.438334493192338,0,11,0,44,lead,O=C(/C=C\Cl)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.553547876549723,0.7357994389901823,0.6716912295842696,115.36698922659656,0.8538005003116479,0.6886900155852054,reference_ligand,10.954852004881243,6
CCOc1ccc(C)cc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.370047021654818,0.0687874221215897,0.4348209892776107,388.471,4.477520000000003,83.06,3,5,4,7,0.217391304347826,0,0.0,3.1064733333333336,False,,0,,0,,0,,0.8245614035087719,0.7071167851696115,1.0,0.2048192771084337,Afatinib,0.175438596491228,0.7951807228915663,0.9193605599285916,0.5696718005129423,1.0,0.9487951807228916,0.5696718005129423,0.8594568852911064,1.0,0.4303281994870577,0.5696718005129423,0.0798715661833137,9.266865888472433,-0.0094108802876067,-0.0,0.5675015852885225,9.824956593473347,0.0,0.0,0.0,0.1629102493588221,0.0,0.1629102493588221,0.0,low,,9.662046344114524,True,pass,False,,0.9794594594594594,0.2329729729729729,0.2616216216216216,0.1264864864864865,0.8854054054054054,0.6643243243243243,0.827027027027027,0.8864864864864865,0.5518918918918919,0.6495945945945947,10.487226863743617,16,0.0,10.44155985762804,0,9,0,7,lead,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.4968478648745094,0.7335792061819459,0.8074844531112679,98.1513407444451,0.8052143740149693,0.6834130780684633,reference_ligand,10.954119666179388,7
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1F)C(=O)NCC2,9.140831194606976,0.0517190361054779,0.5159436193393736,414.41200000000015,3.409600000000001,88.27000000000001,3,5,4,7,0.238095238095238,0,0.0,2.9294133333333345,False,,0,,0,,0,,0.8636363636363636,0.8388065517759973,1.0,0.2022471910112359,Afatinib,0.1363636363636363,0.797752808988764,0.8740044733779094,0.6210992470469119,1.0,0.949438202247191,0.6210992470469119,0.8611354806680032,1.0,0.3789007529530881,0.6210992470469119,0.0171586569465417,9.06325264044876,0.1003411431488972,-0.0,0.5506894790602656,9.714283262657922,0.0,0.0,0.0,0.0986259411913601,0.0,0.0986259411913601,0.0,low,,9.615657321466562,True,pass,False,,0.9081081081081082,0.5675675675675675,0.4562162162162162,0.0227027027027027,0.8854054054054054,0.9005405405405406,0.827027027027027,0.9383783783783785,0.5951351351351352,0.7136756756756757,10.428445424820085,26,0.0,10.472068132277371,0,7,0,19,lead,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.44495969967980564,0.6546458739441195,0.7365081654416734,101.90984167506018,0.8170417622591943,0.6382271433298892,reference_ligand,10.950738489774789,8
Cc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.14384074278302,0.1313583952525802,0.509941198085486,344.418,4.078820000000002,73.83,3,4,4,5,0.1428571428571428,0,0.0,2.65,False,,0,,0,,0,,0.7592592592592593,0.7324083694083694,1.0,0.2105263157894736,Afatinib,0.2407407407407407,0.7894736842105263,0.8190093090189488,0.6285445820239404,1.0,0.9473684210526316,0.6285445820239404,0.8487305780238803,1.0,0.3714554179760596,0.6285445820239404,-0.0396283586732418,8.946803149904149,0.1267269123712003,-0.0,0.5951754385964911,9.66870550087184,0.0,0.0,0.0470375928788704,0.0893192724700745,0.0,0.1363568653489449,0.0,low,,9.532348635522895,True,pass,False,,0.9113513513513514,0.5486486486486486,0.6302702702702703,0.4156756756756756,0.8854054054054054,0.9167567567567568,0.827027027027027,0.6551351351351351,0.6975135135135135,0.7559729729729731,10.505721717088058,13,0.0,10.439516203090465,0,10,0,3,lead,OC[C@@H](Nc1ncnc2[nH]c(-c3ccccc3)cc12)c1ccccc1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.45758112094395276,0.6297499188048068,0.8501898510639576,86.29701159279044,0.7626652118820294,0.6468076492746437,reference_ligand,10.924621940046448,9
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1ccc(C)c(F)c1C)C(=O)NCC2,9.23372605594051,0.0452087517221538,0.4850605147304438,452.53000000000026,4.665940000000003,88.27000000000001,3,5,4,7,0.36,0,0.0,3.183533333333335,False,,0,,0,,0,,0.8285714285714286,0.768011583011583,1.0,0.145631067961165,Osimertinib,0.1714285714285713,0.854368932038835,0.9017853877796198,0.5943396933581543,1.0,0.9635922330097088,0.5943396933581543,0.8649293285368707,1.0,0.4056603066418457,0.5943396933581543,0.0491414123236655,9.16591292835728,0.0435305147304435,-0.0,0.5834535367545076,9.792896979842231,0.0,0.0,0.0,0.1320753833023071,0.0,0.1320753833023071,0.0,low,,9.660821596539924,True,pass,False,,0.9491891891891892,0.4524324324324324,0.1637837837837837,0.1097297297297297,0.8854054054054054,0.7848648648648648,0.827027027027027,0.9589189189189188,0.5641351351351351,0.6776486486486486,10.469859142004394,18,0.0,10.473999974918302,0,6,0,12,lead,COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3956373410524139,0.6781853623958887,0.6143719733670406,101.17333402827707,0.8147820860404688,0.6006800580310478,reference_ligand,10.924510018441588,10
