effect_class,n,avg_delta_score,avg_delta_pIC50,avg_delta_QED
neutral,1,-0.0821045991157785,-0.0700828217274001,-0.007371567585851
worse,107,-1.223716017595718,-1.0394074055418725,-0.04463450637891598
