round,n_candidates,avg_score,max_score,avg_pIC50,avg_qed,avg_uncertainty
1,36,9.11831520847182,9.548923299679013,8.875038540139832,0.5475576038300503,0.030502133583036346
2,28,9.153250024676826,9.525602796634267,8.927219531911271,0.5286960185287213,0.03831751649880538
3,15,9.297404728417082,9.574685759174084,9.07986560575339,0.5081482441772514,0.03653499942493546
