smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,round,closest_market_drug,closest_market_smiles,max_market_similarity
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCCO1,9.283046921755808,0.0249287425600277,0.4577606278048509,481.95900000000034,4.963300000000004,80.24000000000001,1,6,0.0,9.486998493098207,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCO1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.35555555555555557
NCN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.268779055553557,0.0218721637667012,0.4743341107827576,484.4020000000002,2.9983000000000013,99.41,3,7,0.0,9.484073947178231,O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,0.3372093023255814
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,9.21487808208264,0.0174720871616415,0.5518621847346737,485.3860000000002,3.643500000000001,82.62,2,7,0.0,9.473337087288336,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,0.34831460674157305
C=CC(=O)NC1=NNOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.122527137545822,0.0137557188221209,0.7170653802729625,324.3440000000001,1.4554199999999995,99.47,3,7,0.0,9.467304108860182,C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,3,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2558139534883721
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNOCC1,9.27990794681825,0.0442290607703446,0.4584545385928302,496.97400000000033,3.772700000000001,92.27,2,7,0.0,9.46490615534432,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCC1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34408602150537637
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCOC1,9.283038597533828,0.0481227097306474,0.4584545385928302,496.97400000000033,3.772700000000001,92.27,2,7,0.0,9.464143157099596,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCOC1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34408602150537637
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCNC1,9.258680500483386,0.0395795908775517,0.4703359900334568,480.9750000000003,4.1887000000000025,83.04,2,6,0.0,9.454268904622564,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCNC1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34782608695652173
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNNCC1,9.28485275651988,0.0368831243421304,0.4124094644026705,495.9900000000003,3.3457,95.07,3,7,0.0,9.454174364379083,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNOCC1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.36363636363636365
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCCO1,9.266003743295856,0.0415455065031478,0.4584545385928302,496.97400000000033,3.772700000000001,92.27,2,7,0.0,9.453685506089125,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCO1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34408602150537637
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCNC1,9.269978461530032,0.0318614257745455,0.4124094644026705,495.9900000000003,3.3457,95.07,3,7,0.0,9.444321767956822,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCOC1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34408602150537637
