smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed
CON(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.055932831204077,0.028003522393386156,0.4583870012921185,441.89400000000023,4.104400000000003,70.58999999999999,1,6,0.0,9.257122809456751,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1
NC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.019329146944694,0.027690762114273,0.5253198346334697,401.26800000000014,3.2083000000000004,105.82000000000001,3,6,0.0,9.254298302147156,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12
C=CC(=N)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.99878734735417,0.05415744227507815,0.5914466494556185,291.358,2.997790000000001,72.63,3,4,0.0,9.240353229806901,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21
C=CC(=O)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.911116980187144,0.035137231939077654,0.6463330005515724,309.32900000000006,1.95082,87.44,2,6,0.0,9.199146248523851,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21
CN(C)OC/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.001658061623383,0.03438185346391355,0.4583870012921185,441.89400000000023,4.104400000000003,70.58999999999999,1,6,0.0,9.196469708805528,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/OCCN1CCOCC1,9.07531011458492,0.028170066132188084,0.27265105433187925,497.95800000000037,3.852100000000002,89.47000000000001,1,7,0.0,9.183465575618671,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
C=CC(=O)C(OC)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.900951658080274,0.039271156572597665,0.6324060950216026,399.24800000000005,3.973500000000003,77.0,1,6,0.0,9.177883549018476,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
C=COC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.963406676245885,0.04003576738612567,0.50874426616121,399.24800000000005,4.321100000000002,77.0,1,6,0.0,9.177743041940364,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
C=CC(=O)NOC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.880096230192246,0.03910391561848154,0.6625904344954205,308.34100000000007,2.47872,75.08,2,5,0.0,9.172287531821475,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21
O=C(O)CCOCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.973864545952322,0.008850587166906114,0.3774228935382279,418.25100000000015,3.3916000000000013,109.26,3,7,0.0,9.15372540555453,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12
CN(COCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.861332550566912,0.026390653383336626,0.6265265096325219,390.24100000000004,2.891000000000001,83.4,2,7,0.0,9.148205151999838,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
