smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
C=CC(=O)NC1=COC=C2N=CN=C(Nc3cccc(C)c3)C21,9.100234860675844,0.0201785068731693,0.8423852863139648,308.34100000000007,2.47872,75.08,2,5,0.0,9.501248996959658,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.8407986245812334,9.539862393436406,-0.04867570225873408,0.0015866617327313648,-0.03861339647674811
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCOC1,9.343918546779667,0.0281808160658038,0.4663711379303054,497.9580000000004,4.199700000000003,89.47000000000001,1,7,0.0,9.548923299679016,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.038234479879230676,-0.017556388752728302,-0.04726981000725239
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCO1,9.32484287547417,0.0224970125219836,0.4663711379303054,497.9580000000004,4.199700000000003,89.47000000000001,1,7,0.0,9.53553143191734,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.05731015118472804,-0.017556388752728302,-0.06066167776892861
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCC1,9.312070204931498,0.0362596739096006,0.4765559590971826,480.9750000000003,3.8411000000000017,83.04,2,6,0.0,9.514088510570488,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.0700828217274001,-0.007371567585851058,-0.08210459911578027
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOOCC1,9.350967175825328,0.0240426198510848,0.3682593879048447,497.9580000000004,4.199700000000003,89.47000000000001,1,7,0.0,9.511054249926666,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.031185850833569617,-0.11566813877818899,-0.08513885975960278
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.113984078401437,0.0080743269601043,0.8185291858113687,309.32900000000006,1.95082,87.44,2,6,0.0,9.515174344347017,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.8182257163781242,9.623413495652406,-0.11188476423352967,0.000303469433244441,-0.10823915130538886
O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.29894435720328,0.0250881484766699,0.4738919416660224,485.38600000000014,3.031900000000001,93.62,3,7,0.0,9.51080217955962,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.5737333346179045,9.678590282753298,-0.1098138239587918,-0.09984139295188216,-0.16778810319367743
O=C(CCN1CCCCOC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.142142216133395,0.0220153195689445,0.5512062923021829,470.3710000000001,4.534400000000003,79.38,2,6,0.0,9.395730042715542,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.313859947685312,0.5517540108550381,9.57171395514685,-0.17171773155191694,-0.0005477185528551809,-0.17598391243130784
CN(CO)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.209330325576182,0.0355313819172136,0.4499013198121037,441.8940000000002,3.4928000000000017,81.59,2,6,0.0,9.39874960356502,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.10512848088865567,-0.1715192355113785,-0.18166059696585002
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCO1,9.24139827118811,0.02153688565821,0.5518621847346737,485.3860000000002,3.643500000000001,82.62,2,7,0.0,9.495792477897238,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.5737333346179045,9.678590282753298,-0.16735990997396222,-0.0218711498832308,-0.1827978048560599
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,9.214878082082638,0.0174720871616395,0.5518621847346737,485.3860000000002,3.643500000000001,82.62,2,7,0.0,9.473337087288336,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.5737333346179045,9.678590282753298,-0.1938800990794345,-0.0218711498832308,-0.20525319546496235
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1OCCN3c1ccc(F)c(Cl)c1,9.08695842280262,0.0561791164967614,0.6031575474128575,441.8940000000001,4.009100000000003,70.59,1,6,0.0,9.332358080012288,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.2275003836622176,-0.01826300791062463,-0.24805212051858305
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1COCN3c1ccc(F)c(Cl)c1,9.086944445897664,0.063811413295306,0.6008671398534896,441.8940000000001,4.104400000000003,70.59,1,6,0.0,9.3235666025291,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.22751436056717367,-0.020553415469992564,-0.2568435980017707
