smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_uncertainty,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCC1,9.312070204931498,0.0362596739095995,0.4765559590971826,480.9750000000003,3.8411000000000017,83.04,2,6,0.0,9.51408851057049,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.0700828217274001,-0.007371567585851058,-0.0821045991157785
N/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.985485844546389,0.0124925336795073,0.65689403979231,384.2370000000001,3.1149000000000004,93.79,2,6,0.0,9.301440330763036,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.155818320515056,0.0110277555703004,0.6685952655904649,9.479088197739989,-0.1703324759686673,-0.011701225798154913,-0.17764786697695278
NN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.272152472075842,0.0151996739444229,0.4767196632716615,470.37500000000017,2.9558000000000018,99.41,3,7,0.0,9.49531262976725,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.0170345657177272,0.5737333346179045,9.678590282753298,-0.13660570908623093,-0.09701367134624306,-0.1832776529860478
C=CC(=O)CC1=CC=C2N=CN=C(Nc3cccc(C)c3)C12,8.967517203603327,0.0583397443831789,0.8640016167357356,291.35400000000004,3.432620000000002,53.82,1,4,0.0,9.341178267588017,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.0294474817887876,0.8407986245812334,9.539862393436406,-0.1813933593312509,0.023202992154502167,-0.19868412584838957
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1F,9.241780369284363,0.0306795331660745,0.3612510360651953,499.9490000000003,4.563700000000003,80.24000000000001,1,6,0.0,9.391726354150888,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.14037265737453453,-0.12267649061783836,-0.20446675553538007
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1N,9.186187021609836,0.0326871910259248,0.4591471221970957,496.97400000000033,3.552900000000001,106.26,2,7,0.0,9.383073391682458,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.19596600504906192,-0.02478040448593799,-0.21311971800381002
CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(ON)c1,9.269027059381466,0.0246252212291116,0.1705872046646336,461.57000000000016,2.6740999999999997,124.35,5,8,0.0,9.329695440484672,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.452730415591995,0.0272753351702799,0.2546302680559155,9.552770214449676,-0.18370335621052902,-0.0840430633912819,-0.22307477396500452
C=CC(=O)CC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.997444886422453,0.0460049241515214,0.8670403928394063,292.34200000000004,2.904720000000001,66.17999999999999,1,5,0.0,9.384960158690635,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.0115682051716229,0.8182257163781242,9.623413495652406,-0.228423956212513,0.048814676461282014,-0.2384533369617703
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1C,9.136995819180902,0.0335856978266457,0.4578575644007616,495.98600000000033,4.656600000000004,80.24000000000001,1,6,0.0,9.332338903554636,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.0279236803141482,0.4839275266830337,9.596193109686268,-0.2451572074779964,-0.026069962282272097,-0.2638542061316329
CC1CN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCN1C,9.162122639076523,0.0301448831800419,0.5503039196427981,483.4140000000002,4.100400000000003,73.39,2,6,0.0,9.40712971571788,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.0170345657177272,0.5737333346179045,9.678590282753298,-0.24663554208554928,-0.023429414975106422,-0.2714605670354171
