smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket,parent_seed,closest_pose_reference,closest_pose_smiles,shape_similarity,protrude_similarity,usr_similarity,alignment_score_raw,alignment_score_norm,docking_rescore,docking_backend,structural_priority_score,structural_rank
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(C)c3)C21,9.0801411279076,0.1592352537126512,0.8209958025565295,311.32000000000005,2.15832,78.21000000000001,2,5,3,2,0.125,0,0.0,2.1500000000000004,False,,0,,0,,1,acrylamide_like,0.7818181818181819,0.6572168782709827,0.9222125059472412,0.3506493506493506,Osimertinib,0.2181818181818181,0.6493506493506493,0.7835706043780443,0.8188553837137835,0.92,0.8539970417980932,0.7835706043780443,0.8441057574724802,0.92,0.1364293956219557,0.8635706043780442,-0.0807135374592479,8.841288247338623,0.5109958025565294,-0.0,0.5235401394738233,9.875824189368975,0.0,0.0,0.0888528805689768,0.0,0.1,0.4138528805689768,0.3,medium,uncertain_prediction;reactive_warhead_could_inflate_proxy_score,9.4619713088,True,pass,False,,0.8690601900739177,0.9878563885955648,0.9044350580781416,0.3268215417106652,0.5702217529039071,0.996832101372756,0.293558606124604,0.5512143611404435,0.7896779303062302,0.7456441393875396,10.82343770573645,1,0.0,9.906744276065048,0,140,139,0,review,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.44026104417670686,0.6592745724487878,0.6582032912898443,77.84593613180819,0.7267675193916523,0.5992788180574868,reference_ligand,10.356203389608163,149
COc1cc(C(N)=O)c(F)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,8.949107587108694,0.1201269654133022,0.4488194178263119,405.4330000000001,4.044600000000002,105.92,3,5,4,6,0.1363636363636363,0,0.0,3.119553333333334,False,,0,,0,,0,,0.734375,0.6353222049689441,0.8824040090344437,0.2873563218390804,Osimertinib,0.265625,0.7126436781609196,0.7781880209878619,0.576867859291651,1.0,0.8399639263160628,0.576867859291651,0.7987549516488939,1.0,0.423132140708349,0.576867859291651,-0.0274225742147093,8.76891713898874,-0.0054772185373245,-0.0,0.5539253557068868,9.317365276158304,0.0,0.0,0.0301904481199533,0.1539151758854363,0.0,0.1841056240053896,0.0,low,,9.133259652152914,True,pass,False,,0.8078141499472017,0.308870116156283,0.2375923970432946,0.5675818373812038,0.4646251319957761,0.6932418162618796,0.8247096092925026,0.6916578669482577,0.5744456177402324,0.6020327349524816,10.006700017446583,168,0.0,9.85569893409589,0,150,0,18,advance,COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,Afatinib,CN(C)CCOC1=CC2=C(NC3=CC=CC=C3F)N=CN=C2C=C1,0.49147159157746145,0.7316987740805605,0.808811355497352,82.3060437417137,0.7463417513519774,0.6667025208056884,reference_ligand,10.355725824700157,150
COc1c(-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)ccc(C(N)=O)c1N,8.990629302367788,0.0691441123290712,0.3650764570281359,402.4580000000002,3.4877,131.94,4,6,4,6,0.1363636363636363,0,0.0,3.0997200000000014,False,,1,aniline,0,,0,,0.6923076923076923,0.6112862137862137,0.8387022068840249,0.2197802197802197,Osimertinib,0.3076923076923077,0.7802197802197802,0.8242564469615971,0.5315720513654747,0.88,0.8240816002179636,0.5315720513654747,0.7649775246362589,0.88,0.3484279486345253,0.6515720513654747,0.0790385631004511,8.886913133874181,-0.0862451793355006,-0.2,0.5822030242484788,9.18287097878716,0.0,0.0,0.0,0.0605349357931566,0.0,0.0605349357931566,0.0,low,,9.122336042994002,True,pass,False,,0.8331573389651531,0.0348468848996832,0.264519535374868,0.7903907074973601,0.3384371700105597,0.9503695881731784,0.8247096092925026,0.877507919746568,0.5796462513199578,0.6158922914466738,9.878446480371109,209,0.0,9.86140679273001,0,149,0,60,advance,COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.46463358070500926,0.7117229129662522,0.7043843614145914,92.94720876827948,0.7875651967945595,0.6427345073215618,reference_ligand,10.343457673221181,151
Clc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,8.4518948254902,0.1329845435917518,0.6756020027982031,384.87100000000027,3.1659000000000006,75.2,2,7,4,6,0.3157894736842105,0,0.0,2.632473333333335,False,,0,,0,,0,,0.8,0.745,1.0,0.4615384615384615,Dacomitinib,0.1999999999999999,0.5384615384615384,0.6448845258583237,0.7203321271800374,1.0,0.8846153846153846,0.6448845258583237,0.8124580094134364,1.0,0.3551154741416763,0.6448845258583237,-0.223431311406817,8.252418010102572,0.3123099501666239,-0.0,0.5015384615384615,9.066266421807656,0.0,0.0,0.0494768153876277,0.0688943426770954,0.0,0.1183711580647231,0.0,low,,8.947895263742932,True,pass,False,,0.6282998944033791,0.8891235480464625,0.648363252375924,0.2365364308342133,0.8780359028511088,0.9429778247096092,0.8247096092925026,0.6473072861668426,0.6051214361140443,0.7072861668426611,9.792412145144509,230,0.0,9.796638663954123,0,167,0,63,advance,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.5959456056408965,0.7687185317524768,0.69007844244104,128.63545862425516,0.8828059663319513,0.7210418483960049,reference_ligand,10.337420050251128,152
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(Br)c1C)C(=O)NCC2,9.00736100197156,0.1218284003325955,0.4498711227318073,471.3550000000002,4.202320000000002,88.27000000000001,3,5,4,7,0.2727272727272727,0,0.0,3.3090333333333346,False,,0,,0,,0,,0.8235294117647058,0.7661297852474324,1.0,0.1489361702127659,Afatinib,0.1764705882352941,0.851063829787234,0.7915603702600731,0.5701586046819811,1.0,0.9627659574468084,0.5701586046819811,0.8311212330972156,1.0,0.4298413953180189,0.5701586046819811,-0.0527478171161901,8.824618401472668,-0.0192111499954655,-0.0,0.5847309136420525,9.390138165119255,0.0,0.0,0.0327426004988933,0.1623017441475236,0.0,0.1950443446464169,0.0,low,,9.195093820472838,True,pass,False,,0.8373812038014784,0.3167898627243928,0.0939809926082365,0.1457233368532207,0.8780359028511088,0.6610348468848997,0.8247096092925026,0.6832101372756072,0.4834213305174235,0.5932418162618797,9.970243761740164,181,0.0,9.906983999987094,0,139,0,42,advance,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.37289691037014383,0.5940545808966862,0.6529140479928477,88.71140482568799,0.7720259366559462,0.5729141285714436,reference_ligand,10.336669596415677,153
