smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,ring_count,rotatable_bonds,fraction_csp3,lipinski_violations,penalty,SA_score,has_PAINS,PAINS_alert,structural_alert_count,structural_alerts,severe_alert_count,severe_alerts,covalent_warhead_count,covalent_warheads,max_train_similarity,top5_train_similarity,applicability_score,max_market_similarity,closest_market_name,novelty_score,market_novelty_score,potency_support,chemistry_support,safety_support,domain_support,agent_support_min,agent_support_mean,agent_support_max,agent_disagreement_score,multi_agent_balance,potency_vs_guardrails_gap,potency_reward,chemistry_reward,safety_reward,novelty_reward,naive_reward,applicability_penalty,market_copy_penalty,uncertainty_penalty,disagreement_penalty,reactivity_penalty,anti_hacking_penalty,reward_hacking_risk,reward_hacking_risk_level,reward_hacking_flags,verified_reward,audit_pass,audit_status,veto,veto_reasons,potency_percentile,qed_percentile,sa_percentile,novelty_percentile,applicability_percentile,balance_percentile,risk_percentile,uncertainty_percentile,naive_multi_objective_score,multi_objective_score,naive_score,naive_rank,audit_status_penalty,final_score,audit_priority,rank,audit_demote_positions,audit_promote_positions,selection_bucket
COc1cc2ncnc3c2cc1OCCCCCCOc1c(Cl)cccc1N3,6.275969258509356,0.010274434104972169,0.5932229732689517,399.8780000000001,5.367000000000004,65.50000000000001,1,6,4,1,0.3333333333333333,1,0.45,3.2325200000000005,False,,0,,0,,0,,1.0,0.8445812807881772,1.0,0.3218390804597701,Erlotinib,0.0,0.6781609195402298,0.1868002107538585,0.6019449429902312,1.0,0.9195402298850575,0.1868002107538585,0.6770713459072868,1.0,0.8131997892461416,0.18680021075385844,-0.6536948468712376,6.260557607351898,-0.558321693397715,-0.0,0.2534482758620689,5.955684189816252,0.0,0.0,0.0,0.6414997365576769,0.0,0.7914997365576769,0.2,low,agents_strongly_disagree,5.164184453258575,False,review,False,,0.298,0.814,0.601,0.5005,0.5615,0.272,0.4345,0.768,0.48714999999999997,0.4868499999999999,6.540264189816252,649,0.75,4.698404453258576,1,586,0,63,review
C=CC(=O)N1CC[C@H](n2cc(-c3ccncc3)c(-c3cccc(/C=C/c4ncc(C5CC5)o4)c3)n2)C1,6.63509075949767,0.01217990715725107,0.32357961090305665,477.56800000000027,5.607300000000006,77.05,0,5,6,7,0.2413793103448276,1,0.45,4.100453333333335,False,,0,,0,,1,acrylamide_like,1.0,0.8251267056530214,1.0,0.16379310344827586,Lazertinib,0.0,0.8362068965517242,0.27524675486434175,0.42025904240693757,0.92,0.959051724137931,0.27524675486434175,0.6436393803523026,0.959051724137931,0.6838049692735892,0.31619503072641075,-0.4911901673172811,6.616820898761794,-0.9673504580624609,-0.0,0.3008620689655172,5.95033250966485,0.0,0.0,0.0,0.47975621159198656,0.1,0.7297562115919866,0.2,low,agents_strongly_disagree,5.220576298072864,False,review,False,,0.375,0.401,0.328,0.5005,0.5615,0.478,0.4345,0.677,0.39825,0.43674999999999997,6.42823250966485,679,0.75,4.694676298072864,1,587,0,92,review
C[C@H](c1cccc(F)c1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,6.754530129819663,0.022885345574040362,0.3312045080877193,501.5660000000004,4.076000000000001,90.53000000000002,2,7,6,8,0.2962962962962963,1,0.5,4.710440000000003,False,,0,,0,,0,,1.0,0.9061173533083645,1.0,0.23008849557522124,Dacomitinib,0.0,0.7699115044247787,0.2976127905530876,0.4009917102174763,1.0,0.9424778761061947,0.2976127905530876,0.6602705942191897,1.0,0.7023872094469124,0.29761279055308765,-0.4835437382214695,6.720202111458603,-1.0957318622826513,-0.0,0.2809734513274336,5.905443700503385,0.0,0.0,0.0,0.5029840118086405,0.0,0.6529840118086405,0.2,low,agents_strongly_disagree,5.252459688694745,False,review,False,,0.402,0.417,0.177,0.5005,0.5615,0.44,0.4345,0.306,0.39095,0.4097999999999999,6.374583700503385,691,0.75,4.694219688694745,1,588,0,103,review
C=CC(=O)NCc1cccc(Nc2nc(Nc3cccc(OC)c3)ncc2C(F)(F)F)c1,5.9407856478981484,0.02560174353687098,0.4339758352923763,443.42900000000014,4.793400000000004,88.17,3,6,3,8,0.13636363636363635,0,0.0,3.0228600000000014,False,,0,,0,,1,acrylamide_like,1.0,0.7670600414078674,1.0,0.2988505747126437,Osimertinib,0.0,0.7011494252873562,0.09227519149872743,0.5724228632569608,0.92,0.9252873563218391,0.09227519149872743,0.6274963527693819,0.9252873563218391,0.8330121648231117,0.1669878351768883,-0.7136282150275393,5.902383032592842,-0.0058168010712602355,-0.0,0.26034482758620686,6.156911059107788,0.0,0.0,0.0,0.6662652060288896,0.1,0.9162652060288896,0.2,low,agents_strongly_disagree,5.240645853078899,False,review,False,,0.222,0.592,0.654,0.5005,0.5615,0.255,0.4345,0.251,0.4165,0.4085,6.656711059107788,612,0.75,4.680845853078899,1,589,0,23,review
COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1F,6.039611836138514,0.01616804342810474,0.4251507170236155,478.50300000000027,4.407400000000003,107.94999999999999,2,6,5,6,0.28,0,0.0,3.4566866666666685,False,,1,aniline,0,,0,,1.0,0.8709211013464799,1.0,0.21568627450980393,Osimertinib,0.0,0.7843137254901961,0.12358532863495514,0.5508834071835014,0.88,0.946078431372549,0.12358532863495514,0.6251367917977513,0.946078431372549,0.8224931027375939,0.1775068972624061,-0.6687352842170615,6.015359770996357,-0.06535228297638476,-0.2,0.2852941176470588,6.035301605667031,0.0,0.0,0.0,0.6531163784219923,0.0,0.8031163784219923,0.2,low,agents_strongly_disagree,5.232185227245038,False,review,False,,0.242,0.5805,0.5395,0.5005,0.5615,0.263,0.4345,0.504,0.40602499999999997,0.414775,6.522531605667031,653,0.75,4.679915227245038,1,590,0,63,review
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)cc4Cl)ncnc3cn2)C1,5.775202484811791,0.012655244207841733,0.6103386421329935,430.2950000000002,4.240900000000003,80.24,1,6,4,5,0.2,0,0.0,3.185300000000001,False,,0,,0,,1,acrylamide_like,1.0,0.8416068661193853,1.0,0.3855421686746988,Osimertinib,0.0,0.6144578313253012,0.05994195025745851,0.6631747147116079,0.92,0.9036144578313253,0.05994195025745851,0.636682780700098,0.92,0.8600580497425415,0.13994195025745848,-0.7689877739235192,5.756219618500029,0.15254364213299337,-0.0,0.23433734939759038,6.143100610030612,0.0,0.0,0.0,0.7000725621781769,0.1,0.9500725621781769,0.2,low,agents_strongly_disagree,5.193028047852435,False,review,False,,0.182,0.827,0.618,0.5005,0.5615,0.229,0.4345,0.656,0.44009999999999994,0.44580000000000003,6.671220610030613,606,0.75,4.677988047852435,1,591,0,15,review
O=C(/C=C/c1ccccc1)Nc1ccc(F)cc1F,5.392797337238585,0.01966913555040473,0.8379785332796561,259.255,3.6167000000000016,29.1,1,1,2,3,0.0,0,0.0,1.7,False,,0,,0,,1,acrylamide_like,1.0,0.7211022936632693,1.0,0.2191780821917808,Osimertinib,0.0,0.7808219178082192,0.0,0.8455035779191955,0.92,0.9452054794520548,0.0,0.6776772643428126,0.9452054794520548,0.9452054794520548,0.0547945205479452,-0.9035696857904169,5.363293633912979,0.5829785332796561,-0.0,0.2842465753424657,6.2305187425351,0.0,0.0,0.0,0.8065068493150684,0.1,1.0565068493150684,0.2,low,agents_strongly_disagree,5.174011893220031,False,review,False,,0.106,0.9905,0.986,0.5005,0.5615,0.137,0.4345,0.385,0.4938,0.461575,6.8230787425351,550,0.75,4.677901893220032,1,592,42,0,review
Clc1ccc(-c2nnc(Cc3nc4ccc(Cl)cc4[nH]3)o2)cc1,5.708091954063269,0.05302741412137052,0.5931623019132158,345.189,4.510500000000002,67.6,1,4,4,3,0.0625,0,0.0,2.1,False,,0,,0,,0,,1.0,0.8200761413527371,1.0,0.12359550561797752,Dacomitinib,0.0,0.8764044943820225,0.014903798630857855,0.695470035283038,1.0,0.9691011235955056,0.014903798630857855,0.6698687393773504,1.0,0.9850962013691421,0.01490379863085789,-0.87328658766199,5.6285508328812135,0.2844123019132158,-0.0,0.31292134831460666,6.225884483109036,0.0,0.0,0.0,0.8563702517114278,0.0,1.0063702517114277,0.2,low,agents_strongly_disagree,5.219514231397609,False,review,False,,0.168,0.812,0.894,0.5005,0.5615,0.062,0.4345,0.02,0.47219999999999995,0.41845,6.792524483109036,560,0.75,4.671654231397609,1,593,33,0,review
CCCCOc1ncnc2[nH]c(-c3ccc(N4CCN(C)CC4)cc3)c(-c3cccc(NC(=O)CC)c3)c12,8.091254506769754,0.04289623417942152,0.2852185737886433,512.6580000000004,5.571100000000005,86.38,2,6,5,9,0.36666666666666664,2,0.95,3.9843866666666687,True,anil_di_alk_G(9),0,,0,,0,,1.0,0.8271232876712329,1.0,0.23,Gefitinib,0.0,0.77,0.6177862627668436,0.3536245745581127,0.75,0.9425,0.3536245745581127,0.665977709331239,0.9425,0.5888754254418873,0.4111245745581127,-0.06425526208586063,8.026910155500621,-1.7257727595446903,-0.4,0.28099999999999997,6.18213739595593,0.0,0.0,0.0,0.36109428180235914,0.0,0.6985942818023592,0.45,medium,unsafe_structure_can_game_single_score;agents_strongly_disagree,5.483543114153571,False,review,False,,0.812,0.329,0.362,0.5005,0.5615,0.681,0.043,0.051,0.5856000000000001,0.5103000000000001,6.8848573959559305,519,0.75,4.670903114153571,1,594,75,0,review
C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,7.29182426019427,0.012425972975701792,0.25750818233983475,548.0910000000002,5.384720000000004,87.55,2,7,4,10,0.27586206896551724,2,0.95,4.120606666666668,False,,0,,0,,1,acrylamide_like,1.0,0.8323064409536881,1.0,0.22115384615384615,Osimertinib,0.0,0.7788461538461539,0.4392578839655762,0.3331446284920373,0.92,0.9447115384615384,0.3331446284920373,0.659278512729788,0.9447115384615384,0.6115669099695011,0.38843309003049886,-0.2933608383522823,7.2731853007307175,-1.7829966107636137,-0.0,0.28365384615384615,5.7738425361209496,0.0,0.0,0.0,0.3894586374618764,0.1,0.6394586374618765,0.2,low,agents_strongly_disagree,5.134383898659073,False,review,False,,0.564,0.263,0.326,0.5005,0.5615,0.624,0.4345,0.665,0.4554,0.48655000000000004,6.320322536120949,707,0.75,4.668243898659074,1,595,0,112,review
O=C(/C=C/c1ccccc1)Nc1cc(F)cc(F)c1,5.353856353802923,0.012424026170181455,0.8379785332796561,259.255,3.6167000000000025,29.1,1,1,2,3,0.0,0,0.0,1.7,False,,0,,0,,1,acrylamide_like,1.0,0.7731005031005032,1.0,0.21212121212121213,Sunvozertinib,0.0,0.7878787878787878,0.0,0.8455035779191955,0.92,0.946969696969697,0.0,0.6781183187222231,0.946969696969697,0.946969696969697,0.05303030303030298,-0.9041577582962974,5.3352203145476516,0.5829785332796561,-0.0,0.2863636363636363,6.2045624841909435,0.0,0.0,0.0,0.8087121212121212,0.1,1.058712121212121,0.2,low,agents_strongly_disagree,5.145850362978822,False,review,False,,0.101,0.9905,0.986,0.5005,0.5615,0.135,0.4345,0.666,0.49155000000000004,0.473925,6.794422484190943,559,0.75,4.664560362978823,1,596,37,0,review
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(C4=CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,7.180297313602914,0.01913798175071019,0.3054705569525857,552.5570000000005,5.751300000000004,108.47999999999999,3,7,4,8,0.21428571428571427,2,0.95,3.9503800000000027,False,,0,,0,,1,acrylamide_like,1.0,0.7981505773040924,1.0,0.32653061224489793,Osimertinib,0.0,0.6734693877551021,0.4066777411752313,0.3660711140162297,0.92,0.9183673469387755,0.3660711140162297,0.6527790505325591,0.92,0.5539288859837703,0.4460711140162297,-0.32813507914310386,7.151590340976848,-1.7156578716188433,-0.0,0.2520408163265306,5.687973285684536,0.0,0.0,0.0,0.3174111074797129,0.1,0.5674111074797129,0.2,low,agents_strongly_disagree,5.120562178204823,False,review,False,,0.524,0.361,0.38,0.5005,0.5615,0.742,0.4345,0.404,0.46509999999999996,0.4934,6.246093285684536,727,0.75,4.662642178204823,1,597,0,130,review
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCCN(C(=O)CO)C5)c4n3)cc2)CC1,7.39159447157747,0.010883184257209336,0.31361507387836707,559.6500000000002,3.3602000000000016,114.68,3,9,6,7,0.3793103448275862,1,0.5,4.647666666666668,True,anil_di_alk_A(478),0,,0,,0,,1.0,0.7840519465895975,1.0,0.20192307692307693,Gefitinib,0.0,0.7980769230769231,0.46528038891432094,0.3937318803766916,0.75,0.9495192307692308,0.3937318803766916,0.6396328750150608,0.9495192307692308,0.5557873503925392,0.44421264960746076,-0.23246998146765313,7.375269695191656,-1.0956038916388746,-0.4,0.28942307692307695,6.169088880475858,0.0,0.0,0.0,0.31973418799067405,0.0,0.657234187990674,0.45,medium,unsafe_structure_can_game_single_score;agents_strongly_disagree,5.5118546924851834,False,review,False,,0.603,0.3725,0.196,0.5005,0.5615,0.739,0.043,0.734,0.47534999999999994,0.47747500000000004,6.739508880475858,574,0.75,4.659824692485183,1,598,24,0,review
Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(F)cc3)C2)cc1,5.39645733182629,0.010439108197356991,0.8220891720375757,353.4220000000001,3.914620000000003,45.03,0,4,4,2,0.21052631578947367,0,0.0,2.372813333333334,False,,0,,0,,0,,1.0,0.9173060528559249,1.0,0.09782608695652174,Osimertinib,0.0,0.9021739130434783,0.0,0.8108869933386154,1.0,0.9755434782608696,0.0,0.6966076178998712,1.0,1.0,0.0,-0.9288101571998283,5.380798669530255,0.48721980361652295,-0.0,0.3206521739130434,6.188670647059821,0.0,0.0,0.0,0.875,0.0,1.025,0.2,low,agents_strongly_disagree,5.163670647059821,False,review,False,,0.1085,0.9855,0.82,0.5005,0.5615,0.0285,0.4345,0.76,0.469025,0.452875,6.751500647059821,570,0.75,4.657120647059821,1,599,29,0,review
