activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
325577,CHEMBL691873,F,CHEMBL1135889,CHEMBL1202477,7.05,=,=,IC50,nM,90.0,IC50,uM,0.09
326805,CHEMBL677388,B,CHEMBL1135889,CHEMBL416191,6.52,=,=,IC50,nM,300.0,IC50,uM,0.3
326807,CHEMBL691873,F,CHEMBL1135889,CHEMBL416191,6.40,=,=,IC50,nM,400.0,IC50,uM,0.4
327899,CHEMBL679946,B,CHEMBL1127568,CHEMBL66618,,>,>,IC50,nM,20000.0,IC50,uM,20.0
327901,CHEMBL679946,B,CHEMBL1127568,CHEMBL67027,6.16,=,=,IC50,nM,700.0,IC50,uM,0.7
328238,CHEMBL676067,B,CHEMBL1136802,CHEMBL140213,,=,=,IC50,nM,501187.23,pIC50,,3.3
328342,CHEMBL677388,B,CHEMBL1135889,CHEMBL533849,6.30,=,=,IC50,nM,500.0,IC50,uM,0.5
328344,CHEMBL691873,F,CHEMBL1135889,CHEMBL533849,6.77,=,=,IC50,nM,170.0,IC50,uM,0.17
328373,CHEMBL677388,B,CHEMBL1135889,CHEMBL1907944,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
328375,CHEMBL691873,F,CHEMBL1135889,CHEMBL1907944,6.82,=,=,IC50,nM,150.0,IC50,uM,0.15
328640,CHEMBL677206,B,CHEMBL1129933,CHEMBL336409,6.05,=,=,IC50,nM,900.0,IC50,uM,0.9
328646,CHEMBL677383,F,CHEMBL1129933,CHEMBL336409,5.38,=,=,IC50,nM,4200.0,IC50,uM,4.2
329281,CHEMBL679946,B,CHEMBL1127568,CHEMBL303872,,>,>,IC50,nM,20000.0,IC50,uM,20.0
329283,CHEMBL679946,B,CHEMBL1127568,CHEMBL302491,,>,>,IC50,nM,20000.0,IC50,uM,20.0
329341,CHEMBL679946,B,CHEMBL1127568,CHEMBL304333,,>,>,IC50,nM,20000.0,IC50,uM,20.0
329343,CHEMBL679946,B,CHEMBL1127568,CHEMBL66924,,>,>,IC50,nM,20000.0,IC50,uM,20.0
329898,CHEMBL677206,B,CHEMBL1129933,CHEMBL342929,5.16,=,=,IC50,nM,6900.0,IC50,uM,6.9
