smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,SA_score,has_PAINS,PAINS_alert,PAINS_penalty,final_score,parent_seed,round
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.113984078401435,0.008074326960102487,0.8185291858113687,309.32900000000006,1.95082,87.44,2,6,0.0,2.1500000000000004,False,,0.0,9.192674344347017,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C=CC(=O)NC1=NNC=C2N=CN=C(Nc3cccc(C)c3)C21,9.13757354266735,0.012238972593488535,0.7236088219324395,308.3450000000001,1.5238199999999997,90.24,3,6,0.0,2.1500000000000004,False,,0.0,9.164638981040083,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2
C=CC(=O)NC1=COC=C2N=CN=C(Nc3cccc(C)c3)C21,9.100234860675844,0.020178506873168068,0.8423852863139648,308.34100000000007,2.47872,75.08,2,5,0.0,2.25,False,,0.0,9.163748996959658,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C=CC(=O)NC1=CNC=C2N=CN=C(Nc3cccc(C)c3)C21,9.118486461715813,0.024869537091559597,0.7479524421590898,307.3570000000001,2.05172,77.88,3,5,0.0,2.25,False,,0.0,9.130093145703798,C=CC(=O)NC1=COC=C2N=CN=C(Nc3cccc(C)c3)C21,2
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,9.055274655763263,0.01515204864525719,0.81873646341932,315.283,1.989,78.21000000000001,2,5,0.0,2.1500000000000004,False,,0.0,9.126990838827666,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Cl)c(F)c3)C21,9.027482534150158,0.011982536324066088,0.8166739212657403,331.73800000000006,2.5033000000000003,78.21000000000001,2,5,0.0,2.1500000000000004,False,,0.0,9.101336958458962,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,2
C=CC(=O)NNC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.1345042062144,0.021744741864106895,0.5713812887949513,308.3450000000001,1.5238199999999997,90.24,3,6,0.0,2.1500000000000004,False,,0.0,9.07595010874777,C=CC(=O)NOC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,2
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Cl)c(Cl)c3)C21,9.002891249773626,0.017725019639629743,0.8061853941744007,348.1930000000001,3.0176000000000007,78.21000000000001,2,5,0.0,2.1500000000000004,False,,0.0,9.065758927221196,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NOOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.084778316321785,0.02714076786947819,0.6407322672510349,325.3280000000001,1.88242,96.67,2,7,0.0,2.1500000000000004,False,,0.0,9.055503682077825,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Br)c3)C21,9.034126133483245,0.024439002255429648,0.7788345040932567,376.189,2.612400000000001,78.21000000000001,2,5,0.0,2.324593333333334,False,,0.0,9.050415383274444,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Br)c(F)c3)C21,9.03011119679972,0.021933449870368067,0.7788345040932567,376.189,2.612400000000001,78.21000000000001,2,5,0.0,2.324593333333334,False,,0.0,9.04890599897598,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,2
C=CC(=O)NC1=COOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.04600303348223,0.03679975613641519,0.6604029214530742,324.3400000000001,2.4103200000000005,84.31,2,6,0.0,2.25,False,,0.0,9.00190473807235,C=CC(=O)NC1=COC=C2N=CN=C(Nc3cccc(C)c3)C21,2
O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.298944357203279,0.025088148476668966,0.47389194166602244,485.38600000000014,3.031900000000001,93.62,3,7,0.0,3.4025733333333346,False,,0.0,9.00041617955962,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCO1,9.24139827118811,0.021536885658210412,0.5518621847346737,485.3860000000002,3.6435000000000013,82.62,2,7,0.0,3.3025733333333345,False,,0.0,9.000406477897236,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.075602470920359,0.04509748085084512,0.5775653740995258,292.346,2.4698900000000004,84.99000000000001,3,5,0.0,2.1500000000000004,False,,0.0,8.996787677119276,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,8.919631016045988,0.007850295877594404,0.8117747511601712,331.28200000000004,1.9206,87.44,2,6,0.0,2.1500000000000004,False,,0.0,8.99516809574848,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(F)c3)C21,2
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,9.214878082082638,0.017472087161641035,0.5518621847346737,485.3860000000002,3.6435000000000013,82.62,2,7,0.0,3.3025733333333345,False,,0.0,8.977951087288334,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,1
NCN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.268779055553555,0.021872163766700176,0.4743341107827576,484.4020000000002,2.9983000000000013,99.41000000000001,3,7,0.0,3.396013333333335,False,,0.0,8.974671947178233,O=C(CCN1CCN(CO)CC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2
C=CC(=O)NC1=NOC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,8.897762430861299,0.009424082282783476,0.8053650664284242,347.7370000000001,2.4349000000000007,87.44,2,6,0.0,2.1500000000000004,False,,0.0,8.968520881792728,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(F)c(Cl)c3)C21,1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Cl)c(Br)c3)C21,8.976760457822047,0.02644228824549414,0.7585634917142181,392.64400000000006,3.1267000000000014,78.21000000000001,2,5,0.0,2.434293333333334,False,,0.0,8.96445591543366,C=CC(=O)NC1=NC=C2N=CN=C(Nc3ccc(Cl)c(Cl)c3)C21,2
